ID,electricity_kwh_per_month,natural_gas_therms_per_month,vehicle_miles_per_month,house_area_sqft,water_usage_liters_per_day,public_transport_usage_per_week,household_size,home_insulation_quality,meat_consumption_kg_per_week,laundry_loads_per_week,recycles_regularly,composts_organic_waste,uses_solar_panels,energy_efficient_appliances,heating_type,diet_type,owns_pet,smart_thermostat_installed,carbon_footprint
0x3378,539.01,74.2,672.38,1339.46,362.78,5,1,4,3.73,8,1.0,0.0,0,0.0,gas,omnivore,1,0.0,1048.57
0x2395,586.06,73.7,1293.85,2642.98,574.21,0,5,2,3.92,6,0.0,0.0,0,0.0,gas,omnivore,0,1.0,1322.85
0x11a3,413.27,38.62,344.6,5T{|v,410.39,6,2,3,1.42,6,0.0,0.0,0,0.0,electric,omnivore,0,0.0,710.15
0x9f2,391.08,37.4,862.13,1312.47,414.2,5,5,3,4.58,4,0.0,0.0,0,1.0,gas,vegetarian,1,0.0,711.32
0xacb,600.05,34.86,1493.12,2077.9,544.66,6,4,0,4.45,7,1.0,1.0,1,1.0,gas,vegan,0,0.0,585.14
0x27ce,457.41,43.41,1349.06,2576.95,518.08,0,2,5,4.34,5,1.0,1.0,0,1.0,gas,omnivore,1,0.0,936.78
0x13a8,-55.0,56.7,1177.41,2809.13,477.97,0,5,4,0.99,7,0.0,0.0,0,0.0,electric,omnivore,1,0.0,918.45
0x3d00,555.27,56.54,708.96,1863.84,623.95,5,5,3,2.37,7,1.0,1.0,0,1.0,electric,omnivore,0,0.0,823.27
0x4fcb,258.49,35.74,231.62,1984.86,215.94,10,3,3,0.65,6,1.0,0.0,0,0.0,none,omnivore,1,0.0,523.15
0x45fe,442.51,64.08,944.55,2164.34,393.82,0,5,4,2.03,7,1.0,0.0,0,1.0,gas,omnivore,0,,804.82
0x401,534.4,76.94,886.57,1542.5,409.69,4,1,3,2.98,5,1.0,0.0,0,0.0,electric,vegetarian,1,0.0,802.08
0x21a2,364.14,23.18,677.8,1270.47,307.01,2,1,3,2.67,3,1.0,0.0,0,1.0,gas,omnivore,1,0.0,711.33
0x4c4a,507.05,64.07,919.62,1815.67,363.34,0,2,2,2.24,8,1.0,0.0,0,1.0,gas,omnivore,0,0.0,935.82
0x3cc8,307.67,41.11,799.69,1979.63,460.27,6,5,3,3.11,6,0.0,0.0,0,0.0,gas,omnivore,1,1.0,928.19
0x375d,435.59,28.25,311.32,1997.46,483.19,4,4,7,2.97,4,1.0,1.0,0,1.0,gas,omnivore,0,0.0,659.99
0xb84,461.33,77.8,1284.11,2532.67,392.1,5,5,2,2.7,7,0.0,0.0,1,0.0,electric,omnivore,1,1.0,1120.47
0x4278,216.47,52.12,995.82,1552.06,-66.0,5,?G_m7,4,1.68,3,1.0,0.0,1,0.0,gas,vegetarian,0,1.0,589.53
0x3df8,528.29,48.12,804.18,2688.06,-88.0,3,5,4,1.79,7,1.0,1.0,0,0.0,gas,omnivore,1,1.0,857.74
0x3205,325.04,72.52,383.35,<nH><,497.85,2,6,1,2.74,7,1.0,0.0,0,0.0,electric,omnivore,1,0.0,959.03
0x444b,425.38,42.87,698.81,1288.74,295.42,1,3,2,4.69,6,1.0,1.0,0,0.0,gas,omnivore,1,1.0,1031.05
0x81c,475.17,54.9,977.32,3349.83,406.34,4,3,3,3.27,7,1.0,0.0,0,0.0,gas,vegan,1,0.0,635.78
0x1fe8,204.57,77.35,-209.10190082205065,1248.21,299.16,4,6,1,3.21,7,0.0,0.0,1,1.0,gas,vegetarian,1,1.0,700.4
0x383c,512.97,32.85,952.09,1869.33,450.95,0,2,4,3.72,7,1.0,0.0,0,0.0,electric,omnivore,1,0.0,956.73
0x15c9,266.33,54.15,1530.31,2210.83,396.21,1,5,4,2.72,5,0.0,0.0,0,0.0,electric,vegetarian,0,0.0,797.51
0x3e46,389.58,55.65,1109.65,1869.17,422.63,0,2,4,3.5,2,1.0,0.0,0,1.0,electric,omnivore,1,0.0,868.94
0x4f3f,486.39,55.32,1056.64,1411.95,441.75,0,4,3,0.19,6,1.0,0.0,0,1.0,gas,omnivore,1,0.0,1244.63
0x1496,489.17,36.45,571.54,2089.92,556.51,2,3,3,3.94,5,1.0,0.0,0,0.0,gas,omnivore,1,0.0,952.7
0x3d74,375.25,101.51,788.59,2693.0,503.9,3,1,4,2.08,2,1.0,0.0,1,1.0,gas,vegetarian,0,1.0,608.48
0x2912,391.09,56.53,507.97,1599.7,281.22,6,2,4,5.79,9,1.0,0.0,0,0.0,sgqHE,vegetarian,1,0.0,795.65
0x1439,311.62,45.9,707.21,697.99,374.31,0,6,2,2.17,3,0.0,,0,1.0,gas,vegetarian,0,0.0,606.34
0xbfe,273.49,73.44,552.76,1326.14,345.65,4,5,3,1.94,1,1.0,1.0,0,0.0,gas,vegetarian,0,0.0,645.32
0x1922,511.44,60.0,638.36,1764.8,348.9,1,2,2,2.77,7,0.0,0.0,0,1.0,gas,omnivore,1,0.0,935.2
0x48df,233.62,75.94,1794.4841603390382,1465.83,472.67,5,3,1,2.06,9,1.0,,0,1.0,electric,vegetarian,1,1.0,655.81
0xb2a,536.62,30.25,623.15,1252.01,354.67,1,1,4,2.58,3,1.0,0.0,0,0.0,electric,vegetarian,0,0.0,599.65
0x4711,311.99,84.11,995.19,1727.06,455.1,4,1,2,4.36,7,1.0,0.0,0,1.0,gas,omnivore,1,0.0,1086.37
0x30fd,-88.0,57.99,484.72,2505.45,457.68,10,1,4,2.73,3,1.0,1.0,0,1.0,electric,omnivore,1,1.0,692.17
0x36fd,443.15,44.29,629.2,1472.43,441.2,5,1,2,3.52,9,1.0,1.0,1,1.0,electric,omnivore,0,0.0,786.01
0x120d,541.79,63.42,604.49,2179.33,396.8,4,3,2,2.65,8,0.0,1.0,0,0.0,none,omnivore,0,0.0,975.56
0x10fb,412.17,-11.0,1095.75,1608.66,552.03,0,4,4,3.61,8,1.0,0.0,0,,gas,vegan,1,0.0,587.67
0x4ce9,377.38,78.76,837.33,1857.42,413.6,1,3,1,4.2,3,1.0,1.0,1,1.0,electric,omnivore,0,0.0,971.67
0x4235,136.95,28.4,896.71,1228.65,-11.0,-5,6,0,0.22,1,1.0,1.0,0,0.0,none,vegan,0,0.0,371.2
0x1f38,291.52,51.88,1208.45,1786.2,208.82,2,5,3,0.64,2,1.0,1.0,0,1.0,gas,omnivore,1,0.0,768.62
0x4eb3,419.49,31.53,940.97,2468.88,364.2,1,8,4,2.43,9,1.0,0.0,0,0.0,electric,vegan,0,0.0,524.14
0x484a,466.04,59.33,999.02,1492.32,576.03,1,3,2,3.54,3,1.0,1.0,0,0.0,electric,omnivore,1,1.0,1047.76
0x2c8b,153.55,49.82,531.36,788.44,262.63,2,6,3,0.0,6,1.0,0.0,0,0.0,electric,vegetarian,1,0.0,486.64
0xd4e,380.38,66.49,1499.59,2238.59,525.14,2,1,2,3.29,1,1.0,1.0,0,0.0,electric,omnivore,1,1.0,1148.14
0x2b42,436.04,22.27,1020.99,1237.82,351.66,3,3,3,2.37,8,0.0,0.0,1,0.0,gas,vegetarian,1,0.0,664.61
0x4401,494.36,34.92,1295.57,2758.4,524.68,0,1,5,3.09,9,1.0,1.0,0,1.0,gas,omnivore,1,0.0,874.2
0x2f1d,320.29,94.39,1531.12,2532.97,437.42,3,3,2,1.74,8,0.0,1.0,0,0.0,none,omnivore,1,1.0,1163.59
0x4ddd,221.95,65.38,783.74,1573.0,447.95,2,5,2,4.5,7,1.0,0.0,0,1.0,electric,vegetarian,1,0.0,721.23
0x1d6a,501.94,59.95,872.17,2350.11,-55.0,0,4,3,2.88,3,0.0,1.0,1,1.0,electric,omnivore,1,0.0,832.12
0xd80,442.15,37.33,531.92,1365.34,396.03,3,2,3,5.08,9,1.0,0.0,1,0.0,electric,vegetarian,1,0.0,697.33
0x4ce,357.09,44.85,332.65,2004.16,346.1,8,1,3,4.51,7,1.0,1.0,0,0.0,gas,vegetarian,0,,704.74
0x19fd,459.82,47.48,588.74,1610.21,301.16,4,2,-1,5.13,5,1.0,1.0,0,1.0,electric,vegan,1,0.0,561.44
0x2d1b,264.91,55.78,767.66,2041.57,-66.0,4,4,4,2.29,2,0.0,0.0,0,0.0,electric,vegetarian,0,1.0,620.39
0x1388,235.73,40.89,275.07,1474.02,397.55,9,7,3,4.19,2,0.0,1.0,0,1.0,gas,omnivore,1,0.0,758.15
0x1003,403.26,53.26,888.33,2332.07,403.8,2,3,4,1.93,6,1.0,1.0,0,1.0,gas,omnivore,1,0.0,791.11
0x2367,468.48,77.65,839.63,2765.35,-11.0,1,1,2,3.19,9,0.0,1.0,1,1.0,gas,omnivore,0,1.0,944.32
0x853,376.27,53.52,1059.91,1853.48,509.78,3,7,2,2.83,1,0.0,1.0,1,0.0,gas,vegetarian,1,1.0,737.64
0x158a,384.84,41.39,1032.47,2058.62,343.46,0,u]_o~,2,1.72,6,1.0,1.0,0,0.0,_&JlF,omnivore,0,1.0,908.78
0x17b0,-33.0,42.69,1125.43,1513.54,444.59,0,2,4,2.08,7,1.0,1.0,1,1.0,electric,vegetarian,1,0.0,571.43
0x3d7f,219.84,29.18,656.38,2071.36,336.42,5,3,4,3.76,9,0.0,0.0,0,1.0,electric,omnivore,1,0.0,760.65
0x2d90,521.75,39.29,897.06,2424.84,640.32,6,3,3,4.53,2,1.0,0.0,1,1.0,electric,omnivore,0,0.0,829.77
0x4b4b,317.48,21.83,455.78,1310.45,351.48,6,4,2,3.45,5,0.0,0.0,0,1.0,gas,vegan,0,0.0,471.13
0x2642,376.16,54.31,864.01,868.05,428.0,5,3,3,3.06,7,1.0,1.0,1,0.0,gas,vegetarian,1,0.0,704.67
0x31a7,502.86,41.88,921.42,1775.15,292.08,6,3,3,4.64,7,1.0,0.0,0,0.0,electric,omnivore,1,1.0,1031.63
0x3ea5,222.89,37.36,1102.97,1626.23,274.31,2,4,3,0.36,4,1.0,0.0,0,0.0,electric,omnivore,1,1.0,720.6
0xf36,333.62,46.33,1301.63,2274.86,471.23,0,3,3,3.05,8,1.0,1.0,0,0.0,none,vegetarian,1,0.0,750.77
0x353c,481.98,74.04,940.52,1567.65,461.34,0,1,3,0.97,7,0.0,0.0,1,0.0,gas,vegetarian,1,1.0,678.74
0x4d7a,323.24,49.86,532.23,1690.72,294.74,7,3,4,2.72,1,1.0,1.0,0,0.0,gas,omnivore,1,0.0,801.91
0x912,415.5,-33.0,700.98,1940.1,447.34,-8,4,1,6.01,5,0.0,1.0,1,1.0,electric,vegan,0,1.0,615.09
0x11d6,467.06,72.38,810.48,2352.04,482.7,2,1,2,4.57,9,1.0,0.0,0,1.0,none,omnivore,1,0.0,999.32
0x3fca,469.17,41.43,781.73,1761.18,543.17,3,2,3,3.53,9,1.0,1.0,0,1.0,none,omnivore,0,0.0,801.5
0x38c1,532.77,60.34,1075.0,1530.8,411.13,0,5,3,3.65,9,1.0,0.0,0,1.0,electric,omnivore,0,0.0,976.03
0x3b9d,403.73,53.87,899.3,2254.32,489.83,2,1,3,4.39,5,1.0,1.0,1,0.0,electric,omnivore,1,0.0,994.8
0x4a3f,332.88,37.43,625.05,1665.81,373.37,4,1,2,1.79,8,0.0,0.0,0,1.0,gas,omnivore,0,0.0,763.72
0xd87,457.18,45.31,623.69,1769.23,338.53,3,4,5,2.89,6,1.0,1.0,1,0.0,gas,omnivore,0,0.0,760.88
0x1ae5,485.56,73.93,500.28,1771.17,389.04,8,2,4,4.28,4,1.0,0.0,0,1.0,gas,omnivore,1,1.0,853.89
0x4f4c,553.72,59.9,896.43,1811.61,587.22,7,5,3,4.88,6,1.0,1.0,1,0.0,electric,vegetarian,0,1.0,758.83
0x3aec,282.45,43.66,509.48,1507.53,479.37,4,4,4,4.0,4,1.0,0.0,1,1.0,electric,vegetarian,0,0.0,539.71
0x3bc6,327.86,47.48,578.7,2154.92,357.07,3,2,4,3.83,1,1.0,1.0,0,0.0,gas,vegetarian,0,0.0,664.62
0x48b4,537.26,63.62,739.1,2044.99,275.74,0,4,2,3.49,2,0.0,1.0,0,1.0,_J-vT,omnivore,0,0.0,983.81
0x4541,424.38,34.8,687.08,1409.53,448.45,4,1,3,1.94,1,1.0,0.0,1,0.0,electric,vegan,0,1.0,426.5
0x2f93,320.43,15.23,648.63,1114.99,193.94,3,1,3,3.05,2,1.0,1.0,0,1.0,none,omnivore,0,0.0,607.08
0x1e67,605.63,77.35,2155.209927921718,2965.59,499.77,0,1,4,4.8,8,1.0,0.0,0,1.0,%oTUi,vegan,1,0.0,613.09
0xd02,382.95,56.18,913.33,1308.97,356.92,0,3,3,0.88,4,1.0,1.0,0,0.0,electric,vegan,1,1.0,492.52
0x400e,548.54,43.54,1021.38,1326.52,471.51,0,3,2,5.25,9,1.0,0.0,0,1.0,electric,omnivore,1,0.0,1061.28
0x18ce,323.26,37.08,789.65,1347.03,407.9,2,2,2,3.6,7,1.0,1.0,0,1.0,electric,omnivore,1,1.0,809.36
0x1d1c,547.38,56.79,398.46,1990.2,330.68,6,2,3,2.28,5,1.0,1.0,0,0.0,electric,omnivore,1,1.0,819.77
0x8f8,384.26,50.51,1467.75,2505.55,410.72,3,3,4,2.69,6,0.0,1.0,0,1.0,electric,omnivore,1,1.0,906.31
0x4b3c,501.32,55.61,1118.43,3311.86,529.07,4,2,4,0.15,8,1.0,1.0,0,0.0,electric,vegetarian,0,0.0,779.39
0xf3f,344.57,72.66,1010.22,2263.7,251.14,8,1,2,5.36,8,1.0,0.0,0,,gas,omnivore,1,0.0,1297.64
0x3e9b,-77.0,38.86,27.58,1221.18,292.49,10,3,3,1.03,5,1.0,0.0,0,1.0,electric,omnivore,1,0.0,677.41
0x32ad,336.08,70.8,972.43,2102.4,447.87,0,5,5,2.8,2,1.0,0.0,0,1.0,gas,omnivore,0,1.0,894.59
0x1426,614.16,61.67,1014.42,2265.3,576.16,0,1,3,4.33,7,1.0,1.0,0,1.0,electric,omnivore,0,0.0,1018.14
0x4c11,379.69,79.75,1113.5,1844.1,415.22,2,7,3,3.37,2,0.0,0.0,1,0.0,gas,vegan,1,0.0,649.25
0x47ae,317.9,7.09,714.19,1748.51,285.78,0,3,3,2.91,4,0.0,0.0,0,1.0,gas,omnivore,0,0.0,707.77
0x4ca7,376.62,-66.0,571.5,1596.03,-11.0,3,1,4,4.86,7,1.0,0.0,0,0.0,electric,omnivore,1,1.0,953.63
0x4225,548.79,87.36,1569.2736875354017,1912.09,401.79,4,3,2,2.64,2,1.0,1.0,1,1.0,gas,vegan,0,1.0,504.99
0x4809,507.66,48.86,945.5,2119.84,561.7,0,3,3,2.59,3,,0.0,0,0.0,electric,omnivore,1,0.0,998.46
0x98d,394.85,26.14,483.5,1781.02,204.97,4,2,3,4.61,8,0.0,0.0,0,1.0,electric,vegan,0,0.0,502.85
0x10e2,527.54,34.31,901.14,2486.44,599.49,0,1,3,5.17,5,1.0,0.0,1,0.0,gas,vegetarian,1,0.0,773.59
0x123c,409.19,88.97,1197.12,2164.04,556.01,13,5,2,3.34,9,1.0,0.0,0,1.0,electric,vegetarian,0,0.0,817.29
0xbf7,428.19,43.47,1034.21,1399.46,425.71,1,5,2,2.37,3,0.0,1.0,0,1.0,gas,omnivore,0,1.0,862.93
0x40ef,491.7,50.33,883.07,1927.28,-44.0,4,2,5,3.61,8,1.0,0.0,0,1.0,electric,omnivore,0,0.0,820.17
0x13c9,436.1,58.19,339.31,2144.43,397.46,5,!=GtK,1,2.24,6,1.0,0.0,0,1.0,electric,vegetarian,1,1.0,505.85
0x4e2f,311.82,58.88,619.9,1970.9,436.43,2,2,3,3.31,6,0.0,0.0,0,0.0,none,omnivore,1,0.0,902.72
0x4441,451.93,56.46,513.99,2045.59,449.43,6,2,3,2.93,7,1.0,1.0,1,1.0,electric,vegetarian,1,0.0,571.1
0xa3d,428.55,53.48,824.25,1628.0,330.08,2,1,4,2.31,6,1.0,0.0,0,0.0,gas,omnivore,1,0.0,904.19
0x361f,301.6,34.2,642.79,1716.43,365.37,4,4,5,6.78,9,0.0,1.0,0,0.0,gas,omnivore,0,0.0,1045.18
0x2280,431.37,50.85,1283.81,1585.95,410.93,8,3,3,1.83,4,1.0,0.0,0,0.0,electric,omnivore,0,0.0,967.34
0x2bc1,389.9,60.62,460.0,1679.57,399.13,8,5,2,4.57,7,1.0,0.0,0,0.0,gas,omnivore,0,0.0,1059.45
0x4749,431.55,83.56,404.94,928.38,388.37,3,2,3,0.0,8,1.0,1.0,0,0.0,electric,omnivore,0,0.0,762.22
0x403d,559.86,45.73,689.7,1635.36,320.9,4,3,3,5.52,7,,1.0,0,1.0,electric,vegetarian,1,0.0,730.98
0x15a9,373.64,58.85,961.94,2542.61,392.62,4,1,5,6.79,5,1.0,0.0,0,0.0,gas,vegan,1,0.0,667.67
0x2a9f,471.05,61.52,1076.6,1906.48,452.23,2,6,3,0.97,9,1.0,0.0,0,0.0,electric,omnivore,0,0.0,940.2
0xab6,531.73,42.53,744.61,2462.42,502.71,6,8,3,4.16,7,1.0,0.0,0,1.0,gas,omnivore,1,0.0,922.01
0xc4c,299.44,71.74,309.11,783.23,382.23,2,2,2,4.32,3,,1.0,0,0.0,gas,omnivore,1,0.0,1034.62
0x4ab0,604.99,-33.0,1163.03,2225.38,386.53,2,2,4,2.87,1,0.0,0.0,0,0.0,electric,vegetarian,1,1.0,762.02
0x3c0c,296.81,43.92,507.46,1615.41,271.96,5,4,4,3.14,7,0.0,0.0,1,1.0,gas,omnivore,0,0.0,712.36
0x4b1d,519.69,35.5,1876.0460834764415,2051.7,485.96,5,4,4,0.36,1,1.0,0.0,0,1.0,none,omnivore,1,0.0,603.55
0x3686,416.61,29.32,538.17,1982.66,314.95,9,4,4,4.36,4,1.0,0.0,0,1.0,electric,vegetarian,0,0.0,579.15
0x42b1,234.85,18.57,509.18,1137.42,218.85,9,2,4,2.97,1,1.0,1.0,0,1.0,electric,vegetarian,1,0.0,472.31
0x4f45,389.86,48.56,994.54,2373.02,644.97,4,5,3,3.29,1,1.0,1.0,0,1.0,gas,omnivore,0,0.0,874.84
0x1913,278.75,50.52,299.31,794.46,284.67,6,1,3,4.52,4,,0.0,1,0.0,HNR10,omnivore,1,1.0,731.83
0x48c1,459.44,30.78,1084.31,1330.39,382.39,0,2,3,2.86,6,1.0,0.0,0,1.0,none,omnivore,1,1.0,754.1
0x3c3b,503.62,50.25,1093.61,2191.59,574.21,3,6,2,3.07,8,1.0,1.0,1,0.0,gas,vegetarian,0,0.0,780.87
0x2888,279.76,45.09,1122.61,956.56,357.24,0,1,2,1.24,7,0.0,0.0,0,0.0,gas,omnivore,0,0.0,953.31
0x2f7e,614.24,89.09,1085.99,1876.75,197.67,2,n?%W*,1,2.82,1,1.0,0.0,0,1.0,gas,vegetarian,0,1.0,797.81
0x32e9,343.09,44.44,298.37,1273.67,426.92,6,5,2,4.91,5,1.0,0.0,1,1.0,gas,omnivore,1,0.0,799.52
0x26c8,442.49,40.51,546.53,1614.37,381.8,0,3,3,1.39,2,1.0,0.0,0,1.0,gas,omnivore,1,0.0,677.18
0x28c4,364.21,57.95,583.45,1559.12,333.72,1,4l]Qf,3,5.84,2,1.0,0.0,0,1.0,gas,omnivore,1,0.0,950.81
0x2110,361.32,37.29,931.67,1071.14,432.74,4,4,3,4.15,4,1.0,0.0,1,1.0,electric,omnivore,1,0.0,804.0
0x38b8,414.58,22.23,698.47,1382.35,550.64,3,4,7,1.66,9,0.0,0.0,0,0.0,gas,omnivore,0,0.0,779.9
0x2ae4,463.59,35.22,214.96,1839.17,360.63,7,6,4,5.76,4,1.0,1.0,0,0.0,electric,vegetarian,1,0.0,680.87
0x304d,274.4,53.54,583.31,1903.8,350.81,5,4,3,2.16,7,1.0,0.0,0,1.0,electric,omnivore,0,0.0,720.48
0x7bd,548.3,-11.0,801.72,2196.47,584.68,1,4,2,3.53,4,1.0,0.0,1,1.0,electric,vegetarian,1,0.0,635.48
0x802,436.35,24.39,1064.95,1579.87,456.35,8,1,2,1.15,1,1.0,1.0,0,0.0,gas,omnivore,1,0.0,592.46
0x3ddf,491.23,106.88,774.38,2790.61,348.19,3,4,3,4.81,8,1.0,0.0,0,0.0,none,vegetarian,1,1.0,867.11
0x3481,315.61,49.12,460.01,2267.02,384.61,5,5,5,4.31,9,1.0,1.0,0,0.0,electric,vegan,1,0.0,522.22
0x22fd,579.02,11.99,821.16,1507.55,423.35,-6,4,3,5.8,5,1.0,1.0,0,0.0,gas,omnivore,0,0.0,1058.15
0x324c,-33.0,44.64,762.7,1334.84,415.59,5,1,4,4.24,4,1.0,1.0,0,,gas,vegetarian,0,1.0,595.99
0x3c70,304.7,38.35,672.22,2529.84,456.05,3,3,3,4.6,8,1.0,1.0,0,0.0,gas,omnivore,0,0.0,992.07
0x41b3,378.01,62.16,918.07,1935.98,279.81,6,5,3,2.74,8,1.0,0.0,0,1.0,gas,vegetarian,1,0.0,685.41
0x4ec8,457.76,61.67,797.22,2138.03,505.39,4,1,3,4.14,6,1.0,1.0,0,1.0,electric,omnivore,0,0.0,926.23
0x5172,401.85,57.61,1150.63,2293.78,620.51,4,5,3,2.98,9,1.0,0.0,1,1.0,electric,vegetarian,0,1.0,641.98
0x1c2c,487.95,87.84,753.07,1457.89,419.14,5,1,1,2.7,5,0.0,1.0,0,1.0,gas,omnivore,0,0.0,1053.31
0x64e,293.47,24.92,724.34,1304.77,268.47,4,1,5,0.73,5,0.0,0.0,0,0.0,none,vegetarian,1,0.0,461.28
0x25f9,147.46,69.69,850.12,904.58,280.79,3,4,3,3.55,5,1.0,1.0,0,1.0,gas,vegan,1,0.0,531.44
0x30a4,472.07,42.65,912.67,2856.16,594.12,5,4,3,2.55,5,1.0,1.0,0,1.0,electric,omnivore,1,0.0,827.1
0x2e7a,561.28,57.21,646.05,1657.96,478.32,4,3,3,3.67,5,1.0,0.0,0,1.0,gas,vegan,1,0.0,544.9
0x1d8e,407.82,62.4,776.08,1776.1,344.95,1,1,3,3.04,3,1.0,1.0,0,1.0,gas,omnivore,1,1.0,833.47
0x2b39,346.69,64.4,731.12,"X,N&9",360.65,14,4,3,1.18,3,1.0,1.0,1,1.0,gas,omnivore,0,1.0,666.79
0x4510,387.56,26.86,1020.16,2081.3,345.48,0,2,4,1.8,7,1.0,0.0,0,0.0,electric,vegetarian,1,0.0,625.5
0x31f2,576.08,28.8,271.37,1265.58,378.22,4,1,4,1.93,4,1.0,0.0,0,1.0,gas,omnivore,0,0.0,621.26
0x1a9e,536.03,67.95,543.3,1695.06,507.76,5,1,2,1.41,7,1.0,1.0,0,1.0,gas,omnivore,1,0.0,828.53
